Gene ID	CCDS ID
ENSMUSG00000038055	CCDS37252
ENSMUSG00000053158	
ENSMUSG00000109083	
ENSMUSG00000095484	CCDS29665
ENSMUSG00000062542	
ENSMUSG00000101888	
ENSMUSG00000094675	
ENSMUSG00000109083	
ENSMUSG00000021702	CCDS26684
ENSMUSG00000062542	
ENSMUSG00000109083	
ENSMUSG00000038593	CCDS39254
ENSMUSG00000095484	
ENSMUSG00000109083	
ENSMUSG00000044697	
ENSMUSG00000021702	
ENSMUSG00000053158	
ENSMUSG00000038740	CCDS15946
ENSMUSG00000101198	
ENSMUSG00000100431	
ENSMUSG00000038055	
ENSMUSG00000095484	CCDS29664
ENSMUSG00000038593	
ENSMUSG00000038055	CCDS37252
ENSMUSG00000100431	
ENSMUSG00000053158	
ENSMUSG00000100431	
ENSMUSG00000095484	CCDS29664
ENSMUSG00000038740	
ENSMUSG00000101198	
ENSMUSG00000100431	
ENSMUSG00000101198	
ENSMUSG00000017767	
ENSMUSG00000102227	
ENSMUSG00000038593	
ENSMUSG00000023795	
ENSMUSG00000053158	
ENSMUSG00000023795	
ENSMUSG00000110135	
ENSMUSG00000038298	
ENSMUSG00000038593	
ENSMUSG00000023795	
ENSMUSG00000038740	
ENSMUSG00000110501	
ENSMUSG00000104506	
ENSMUSG00000038740	
ENSMUSG00000022677	CCDS27973
ENSMUSG00000104506	
ENSMUSG00000038740	
ENSMUSG00000038593	
ENSMUSG00000017767	CCDS50799
ENSMUSG00000022677	
ENSMUSG00000028795	
ENSMUSG00000022677	
ENSMUSG00000082645	
ENSMUSG00000054708	
ENSMUSG00000063694	CCDS20131
ENSMUSG00000043461	CCDS38453
ENSMUSG00000085612	
ENSMUSG00000086484	
ENSMUSG00000063694	
ENSMUSG00000107182	
ENSMUSG00000087557	
ENSMUSG00000020160	
ENSMUSG00000054708	
ENSMUSG00000086484	
