Gene ID	Associated Gene Name	EntrezGene ID	Version (gene)
ENSG00000252055	RNU6-69P	100873773	1
ENSG00000270381	RP11-290D2.5		1
ENSG00000221163	AL138963.1		1
ENSG00000253051	SNORA31		1
ENSG00000199477	SNORA31	677814	1
ENSG00000273149	RP11-290D2.6		1
ENSG00000185272	RBM11	54033	9
ENSG00000182974	OR4M2	390538	2
ENSG00000226983	AP000235.2	339622	2
ENSG00000260770	NKIRAS2	28511	2
ENSG00000183706	OR4N4	283694	4
ENSG00000170919	TPT1-AS1	100190939	11
ENSG00000227090	AP000402.3		1
ENSG00000230379	AP000146.2		1
ENSG00000270505	IGHV1OR15-1		1
ENSG00000269182	AC010760.1		1
ENSG00000259261	IGHV4OR15-8	642131	2
ENSG00000237444	AP001342.1		1
ENSG00000244278	AP000235.3		1
ENSG00000155304	HSPA13	6782	4
ENSG00000260320	ZNF385C	201181	1
ENSG00000228886	RP11-290D2.3		1
ENSG00000214455	RCN1P2		3
ENSG00000251015	SLC25A30-AS1		1
ENSG00000229303	PPIAP25		1
ENSG00000200709	RNA5SP27		1
ENSG00000197414	GOLGA6L1	645202	8
ENSG00000197414	GOLGA6L1	440243	8
ENSG00000197414	GOLGA6L1	283767	8
ENSG00000232786	TIMM9P3		1
ENSG00000228869	COX4I1P2		1
ENSG00000235366	LINC01055		1
ENSG00000232512	7SK		2
ENSG00000237876	AKR1B1P4		1
ENSG00000260178	DHX58	79132	1
ENSG00000223870	AP000233.3		1
ENSG00000235903	CPB2-AS1	100509894	3
ENSG00000222042	AP000233.4		1
ENSG00000238627	RNA5SP489		1
ENSG00000240767	RN7SL288P		2
ENSG00000238483	snoU13		1
ENSG00000252854	RN7SKP5		1
ENSG00000251106	FAM206BP		1
ENSG00000261097	LINC00563	100861554	1
ENSG00000223336	RNU2-6P		1
ENSG00000252385	RNU6-68P	100873772	1
ENSG00000166200	COPS2	9318	10
ENSG00000155307	SAMSN1	64092	13
ENSG00000241353	PPP1R2P4		2
ENSG00000259958	KAT2A	2648	1
ENSG00000243440	AF165138.7	388813	2
ENSG00000231817	RP11-189B4.6		3
ENSG00000227019	OR7E101P		2
ENSG00000205105	COX17P1		5
ENSG00000260325	HSPB9	94086	1
ENSG00000230243	FKBP1AP3		1
ENSG00000224517	HTR2A-AS1	100874082	2
ENSG00000234590	GNG5P5		1
ENSG00000244521	RN7SL700P		2
ENSG00000234145	NAP1L4P3		1
ENSG00000229423	RPL27AP8		2
ENSG00000261378	RAB5C	5878	1
ENSG00000228573	RP11-279N8.1		1
ENSG00000153575	TUBGCP5	114791	6
ENSG00000234689	LINC00444		1
ENSG00000260388	LINC00562		1
ENSG00000227848	SUCLA2-AS1	101929410	1
ENSG00000263172	5S_rRNA		1
ENSG00000229111	MED4-AS1	100873965	1
ENSG00000262688	Metazoa_SRP		2
ENSG00000266571	Metazoa_SRP		1
ENSG00000224510	POLR2KP2		2
ENSG00000260752	RP11-156E6.1		1
ENSG00000231473	LINC00441	100862704	2
ENSG00000264151	RP11-739N10.1		1
ENSG00000238086	PPP1R26P1		4
ENSG00000177197	PCNPP5		7
ENSG00000233456	LINC01077		1
ENSG00000180530	NRIP1	8204	5
ENSG00000233610	LINC00462	100129597	1
ENSG00000264790	RP11-26N15.2		1
ENSG00000222391	AL137118.1		1
ENSG00000225131	PSME2P2		1
ENSG00000244329	UBA52P9		1
ENSG00000265585	AL161421.1		1
ENSG00000201662	RNU6-60P		1
ENSG00000263611	RP11-612A1.1		1
ENSG00000223724	RAD17P2		1
ENSG00000265097	RBM22P1		1
ENSG00000199788	RNY3P2		1
ENSG00000235957	COX7CP1		1
ENSG00000263405	PA2G4P3		1
ENSG00000231665	OGFOD1P1		1
ENSG00000227279	AC015933.2		1
ENSG00000236577	SNRPGP14		1
ENSG00000137824	RMDN3	55177	11
ENSG00000266296	ARIH2P1		1
ENSG00000176882	RP11-432M24.4		4
ENSG00000261371	PECAM1	5175	1
ENSG00000265994	RP11-510D21.1		1
ENSG00000203547	AL135901.1		1
ENSG00000271238	RP11-510D21.2		1
ENSG00000222148	RNY4P30		1
